season,episode,episode_index,title,directed_by,written_by,murderer_played_by,victim_played_by,original_air_date,columbo_first_appearance,run_time,occupation_of_murderer,network,description
0,1,1,Prescription: Murder,Richard Irving,Richard Levinson & William Linkbased on their play,Gene Barry as Ray Flemming,Nina Foch as Carol Flemming,1968-02-20,1848,5684,Psychiatrist,NBC,"Dr. Ray Flemming (Gene Barry), a psychiatrist, murders his wife (Nina Foch) and persuades his mistress Joan Hudson (Katherine Justice), who is an actress and one of his patients, to support his alibi by impersonating her.

Final clue/twist: Columbo stages the suicide of Flemming’s mistress, then urges him to confess now that the love of his life has killed herself for him. Flemming mocks Columbo's words, saying he never cared deeply for Joan and would have gotten rid of her eventually, anyway. Joan, listening in, agrees to testify against Flemming."
0,2,2,Ransom for a Dead Man,Richard Irving,(S) Richard Levinson & William Link; (T) Dean Hargrove,Lee Grant as Leslie Williams,Harlan Warde as Paul Williams,1971-03-01,732,5473,Attorney,NBC,"Leslie Williams (Lee Grant), a brilliant and ruthless lawyer, murders her husband Paul (Harlan Warde) to get his money, arranging the act to look as if he had been kidnapped and killed by his captors.

Final clue/twist: Margaret (Patricia Mattick), who hates her stepmother Leslie, tells Leslie she will go away if Leslie gives her a lot of money. When Leslie pays Margaret off with some of the ransom cash, Columbo, who had persuaded Margaret to demand money from Leslie, has the final proof he needs."
1,1,3,Murder by the Book,Steven Spielberg,Steven Bochco,Jack Cassidy as Ken Franklin,Martin Milner as Jim Ferris and Barbara Colby as Lilly La Sanka,1971-09-15,1035,4365,Best-selling Novelist,NBC,"Ken Franklin (Jack Cassidy) is one-half of a mystery writing team, but partner Jim Ferris (Martin Milner) wants to go solo, exposing the fact that Ferris did all the actual writing, and thus leave the high-living Franklin without his cash cow. However, the pair have an insurance policy on which Franklin can collect if Ferris dies during the partnership. Franklin makes it look like Ferris was investigating gangsters. He tricks Ferris into taking a trip to Franklin's remote cabin two hours away. They stop at a general store, where, as Franklin makes a phone call to Ferris's wife (Rosemary Forsyth) to establish an alibi, the owner Lilly La Sanka (Barbara Colby)---obviously smitten with Franklin---peers outside to see whom Franklin brought with him and sees Ferris in the passenger seat of the car. At the cabin, Franklin convinces Ferris to call his wife and tell her he's working late at the office. During the phone call, Franklin shoots Ferris. He drives two hours back to his house with his dead partner in the trunk, dumping the corpse on his own lawn. 
La Sanka tracks Franklin to Los Angeles when he is out on a date and loudly approaches him, making it clear that she knows Franklin had killed Ferris, forcing him to cancel his date. He takes her the $15,000 she wants for her silence, feigning interest in her. The two have an intimate dinner in the back of her store, then he bludgeons her and puts her body in a boat which he capsizes to make her death appear accidental.
Final clue/twist: After hearing that Ferris habitually wrote down ideas for his mystery novels on whatever paper was handy, Columbo searches his office and house and finds a note with the fake phone call/alibi scheme. He confronts Franklin with it, and Franklin confesses. Upon his arrest, Franklin makes a startling comment: the alibi idea was in fact his, the only good one he ever had.
Jack Cassidy played the murderer in three Columbo episodes: this one, episode 22 ""Publish or Perish"" (Season 3), and episode 36 ""Now You See Him"" (Season 5).

Note: In 1997 TV Guide ranked this episode number 16 on its '100 Greatest Episodes of All Time' list.[1][2] (Coincidentally, in real life Barbara Colby was a murder victim in 1975[3])"
1,2,4,Death Lends a Hand,Bernard Kowalski,Richard Levinson & William Link,Robert Culp as Carl Brimmer,Patricia Crowley as Lenore Kennicut,1971-10-06,914,4364,Head of a detective agency,NBC,"Carl Brimmer (Robert Culp), the very tough, hard-nosed head of a private detective agency, with unfortunate and fateful anger issues, is hired by Arthur Kennicut (Ray Milland), a powerful publishing magnate who suspects his wife, Lenore (Pat Crowley), of infidelity. Although Brimmer indeed finds evidence of her being unfaithful, instead of reporting this fact to his client, he attempts to blackmail Lenore into obtaining business and political secrets from her husband. She refuses and tells him she will expose his plot to her husband, at which point Brimmer accidentally kills her in a fit of rage. He dumps her body at a scrapyard and later joins the investigation into Lenore's death with Columbo. Brimmer secretly starts to divert suspicion away from himself and even offers Columbo a job. 
Final clue/twist: Columbo becomes suspicious when he realizes a cut on the victim's face matches Brimmer's ring. He disables Brimmer's car, causing the vehicle to be garaged for repair. He has Lenore's body exhumed, then claims that one of her contact lenses was not with the body and is missing. He tells Brimmer the lens must be either at the crime scene or in the car the murderer used to transport the body. After searching for it in his home, Brimmer goes to the garage after-hours and searches for it in the trunk of his car. He finds a contact lens, but is caught by Columbo, with Kennicut in tow. When Brimmer tries to throw the lens away the police stop him, and he confesses. After Brimmer is led away Columbo admits to Kennicut he had arranged everything, and that there never was a missing contact lens.
Robert Culp played the murderer in three Columbo episodes: this one, episode 12 (""The Most Crucial Game""), and episode 21 (""Double Exposure"").  He also appeared (as the father of the murderer) in ""Columbo Goes to College"".
Notes: This episode won an Emmy for writing and is known for the ""glasses effect"" after Brimmer kills Lenore, in which both lenses of Brimmer's glasses simultaneously show different images on-screen of him cleaning the scene of the crime.

Brimmer is the first of a small number of Columbo killers who appear sympathetic after Columbo catches them as Brimmer apologetically tells Kennicut that the killing was an accident and that he didn't want to hurt either one of them."
1,3,5,Dead Weight,Jack Smight,John T. Dugan,Eddie Albert as Martin Hollister,John Kerr as Roger Dutton,1971-10-27,644,4361,Retired Major General in the Army,NBC,"Major General Martin Hollister (Eddie Albert), a retired Marine Corps war hero, learns he is being investigated for embezzling military funds, then shoots his skittish accomplice, Col. Dutton (John Kerr). The act is partially witnessed by Helen Stewart (Suzanne Pleshette), who was in a passing boat. She is wooed by Hollister into doubting her own story. Noted Canadian actress Kate Reid plays Helen's disbelieving mother, who is favorably impressed by the distinguished Hollister.

Final clue/twist: After an encounter with his nostalgia-crazy cook, Columbo realizes that Hollister would never have let go of his signature revolver, the assumed murder weapon. Columbo retrieves the weapon, which Hollister claimed was a replica made for his museum display, and the police forensic unit identifies it as the weapon that killed Dutton. Hollister, with his extraordinary self-confidence, had assumed that everyone would accept what he said about the exhibit's weapon being merely a replica."
1,4,6,Suitable for Framing,Hy Averback,Jackson Gillis,Ross Martin as Dale Kingston and Rosanna Huffman as Tracy O'Connor,Robert Shayne as Rudy Matthews and Rosanna Huffman as Tracy O'Connor,1971-11-17,800,4364,Art critic,NBC,"Art critic Dale Kingston (Ross Martin) murders his uncle and tries to frame his aunt (Kim Hunter) to inherit his uncle's very valuable art collection. He later murders his lover and accomplice in the crime, the gullible art student, Tracy (Rosanna Huffman).
Final clue/twist: Kingston hides the paintings that he stole after the murder in his aunt's house to frame her, then arranges for the police to find them. Columbo, arriving late on the scene, accuses Kingston of the murder and says he can prove it with fingerprints. Kingston replies that his fingerprints being all over the paintings prove nothing. Columbo retorts that it is his own fingerprints that prove the case, from when he touched the paintings early in the investigation, when he visited Kingston in his home. Shaken, Kingston insists that Columbo must have touched the paintings moments ago, to frame him. Columbo takes his hands out of his pockets to show that he has been wearing gloves the whole time.

Don Ameche portrays the family lawyer, Frank Simpson."
1,5,7,Lady in Waiting,Norman Lloyd,(S) Barney Slater; (T) Steven Bochco,Susan Clark as Beth Chadwick,Richard Anderson as Bryce Chadwick,1971-12-15,1200,4343,Independently wealthy (heiress),NBC,"Beth Chadwick (Susan Clark) murders her domineering older brother, Bryce (Richard Anderson), after he attempts to break up her relationship with one of his executives, Peter Hamilton (played by Leslie Nielsen), a man he thinks is only interested in Beth for ulterior motives. His mailing a letter threatening to terminate Peter's employment if he didn't break things off with Beth causes her to reach the tipping point and to act to gain control of her own life and, it turns out, the family business (as there are no other siblings). 
Complications in Beth's plan contribute to Columbo's suspicions. Beth had planned to claim the shooting was an accident. She removed his house key from his key chain thinking it would require him, late at night, to try to enter the house via her bedroom. However, Bryce had a spare key which he had hidden under a flowerpot thus entering the house without ado. She improvises as best she can but her story will ultimately be undermined as a result of this turn of events. Meanwhile, her true personality emerges, showing a very different side than that shown earlier, before the murder. 
Final clue/twist: When Columbo re-reads the testimony of Peter Hamilton, who had driven to the house after receiving the letter from Bryce, he notices that Hamilton climbed over the gates and heard the gunshots before the alarm went off, not after. The detail is enough to undo her entire story. Columbo tells Beth that Hamilton won't like doing it, but he will testify to what he knows. 

The Chadwick siblings' mother is played by veteran actress Jessie Royce Landis in her final performance not long before her death."
1,6,8,Short Fuse,Edward M. Abroms,(S) Lester Pine & Tina Pine; (S/T) Jackson Gillis,Roddy McDowall as Roger Stanford,James Gregory as David Buckner and Lawrence Cook as Quincy,1972-01-19,1115,4335,Chemist / heir to a chemical company,NBC,"Roger Stanford (Roddy McDowall) is a chemist whose uncle, David (James Gregory), has taken over a business that his parents built and his aunt (Ida Lupino) controls. David plans to sell the business to a conglomerate, and uses dirty tricks to get Roger to go along. Roger double crosses and murders his uncle with a booby trapped box of cigars rigged to explode as he drives through the mountains with his chauffeur. William Windom guest stars as Everett Logan, the next-in-line vice president whom Roger discredits as part of the offshoot of the murder, so Roger can take over the company. Anne Francis plays David's secretary, who is romantically involved with Roger. Lawrence Cook plays David's chauffeur and right hand man.

Final clue/twist: Columbo tricks Roger into incriminating himself by having him believe the fateful accident was a result of treacherous driving conditions rather than Roger's bomb. Columbo shows Roger a damaged but intact box of cigars and tells him it came from the death scene. Along with Everett, they take a cable car up the mountain. Roger, thinking they are the booby-trapped cigars he had planted, becomes unhinged. He screams at Columbo to get rid of the box because it is about to explode. Columbo reveals that the box is not from the death scene, that he had just got it and scuffed it up to look like it had been. Realizing he has been tricked, Roger can only laugh hysterically."
1,7,9,Blueprint for Murder,Peter Falk,(S) William Kelley; (T) Steven Bochco,Patrick O'Neal as Elliot Markham,Forrest Tucker as Beau Williamson,1972-02-09,733,4319,Architect,NBC,"Elliot Markham (Patrick O'Neal) is an architect with a vision for a city of the future, and a penchant for classical music. His latest project is being bankrolled by the young wife of Beau Williamson (Forrest Tucker), a wealthy industrialist who has been away on a lengthy overseas business trip. When Williamson returns and finds out how his money is being spent, he is furious, and intends to cut off the funds. Markham decides that the only way he can continue his work is to eliminate Williamson. Simply killing him, however, poses a problem, because his money reverts to a trust fund when he dies. Markham comes up with a clever plan to conceal the body and make it appear as if Beau has gone on another long foreign trip. With Pamela Austin and Janis Paige as the wives, present and past, in Williamson's life.
Final clue/twist: Markham repeatedly goads Columbo into excavating a building site to search for Williamson's body, until Columbo finally does so. It yields nothing. Later that night Markham returns to that site with the body, assuming no-one would ever look there again. However Columbo has known what Markham has been up to all along, he emerges from the shadows with other policemen and arrests Markham. Columbo reveals that he knew something had happened to Williamson when he checked his car and found the radio turned to a classical music station, something odd for Williamson, who only listened to country music.
John Fiedler portrays Williamson's doctor.

This is the only episode Peter Falk directed."
2,1,10,Etude in Black,Nicholas Colasanto,(S) Richard Levinson & William Link; (T) Steven Bochco,John Cassavetes as Alex Benedict,Anjanette Comer as Jennifer Welles,1972-09-17,1438,5513,Orchestral Conductor,NBC,"Alex Benedict (John Cassavetes), the married conductor of the Los Angeles Philharmonic Orchestra, murders his mistress, Jennifer Welles (Anjanette Comer), after she insists on going public with their affair, and tries to make it look like a suicide. Columbo searches for clues to place Benedict at the murder scene.
Final clue/twist: During the murder, Benedict loses his signature boutonniÃ¨re. While conducting that night's concert he realizes its loss and goes back to the now police-crowded crime scene. He recovers the flower and puts it back on. A TV news team records him leaving the house with it, while the recording of the earlier concert shows him being without it. Columbo insists this proves that Benedict must have been there the night of the murder. Witnessing their confrontation, Benedict's wife refuses to support his alibi.

Blythe Danner and Myrna Loy guest star as Benedict's beautiful wealthy wife and her mother, respectively. Pat Morita cameos in one scene as Benedict's butler. During filming Danner was pregnant with her daughter Gwyneth Paltrow, who was born ten days after the episode aired. The episode was directed by Nicholas Colasanto, who later became known for his role as Coach in Cheers."
